schedule_id,date,affectation_1,affectation_2,saved_at
T2_2026,2026-04-01,St Dizier,Majo - CG,2025-10-24T18:07:27.266626
T2_2026,2026-04-02,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-04-03,Majo - MB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-04-07,ICL,Jung,2025-10-24T18:07:27.266626
T2_2026,2026-04-08,Majo - CG,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-04-09,Majo - PB,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-04-10,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-04-13,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-04-14,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-04-15,Majo - MB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-04-16,Jung,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-04-17,Majo - CG,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-04-20,Majo - PB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-04-21,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-04-22,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-04-23,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-04-24,Majo - MB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-04-27,Jung,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-04-28,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-04-29,Majo - CG,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-04-30,Majo - PB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-05-04,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-05-05,ICL,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-05-06,Majo - MB,Jung,2025-10-24T18:07:27.266626
T2_2026,2026-05-07,ICL,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-05-11,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-05-12,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-05-13,Majo - CG,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-05-15,Majo - PB,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-05-18,St Dizier,Jung,2025-10-24T18:07:27.266626
T2_2026,2026-05-19,ICL,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-05-20,Majo - MB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-05-21,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-05-22,Majo - CG,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-05-26,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-05-27,Majo - MB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-05-28,Majo - PB,Jung,2025-10-24T18:07:27.266626
T2_2026,2026-05-29,Majo - CG,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-06-01,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-06-02,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-06-03,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-06-04,Majo - PB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-06-05,Majo - MB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-06-08,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-06-09,ICL,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-06-10,Majo - CG,Jung,2025-10-24T18:07:27.266626
T2_2026,2026-06-11,ICL,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-06-12,Majo - PB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-06-15,ICL,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-06-16,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-06-17,Majo - MB,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-06-18,St Dizier,Jung,2025-10-24T18:07:27.266626
T2_2026,2026-06-19,Majo - CG,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-06-22,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-06-23,St Dizier,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-06-24,Radiolor,Radiolor,2025-10-24T18:07:27.266626
T2_2026,2026-06-25,Majo - PB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-06-26,Majo - MB,St Dizier,2025-10-24T18:07:27.266626
T2_2026,2026-06-29,Jung,ICL,2025-10-24T18:07:27.266626
T2_2026,2026-06-30,St Dizier,ICL,2025-10-24T18:07:27.266626
T1_2026,2026-01-02,St Dizier,Majo - CG,2025-10-25T18:47:27.878823
T1_2026,2026-01-05,Radiolor,Radiolor,2025-10-25T18:47:27.878823
T1_2026,2026-01-06,St Dizier,ICL,2025-10-25T18:47:27.878823
T1_2026,2026-01-07,Majo - MB,Jung,2025-10-25T18:47:27.878823
T1_2026,2026-01-08,St Dizier,Majo - PB,2025-10-25T18:47:27.878823
T1_2026,2026-01-09,Majo - CG,ICL,2025-10-25T18:47:27.878823
T1_2026,2026-01-12,St Dizier,ICL,2025-10-25T18:47:27.878823
T1_2026,2026-01-13,St Dizier,ICL,2025-10-25T18:47:27.878823
T1_2026,2026-01-14,Radiolor,Radiolor,2025-10-25T18:47:27.878823
T1_2026,2026-01-15,St Dizier,Jung,2025-10-25T18:47:27.878823
T1_2026,2026-01-16,Majo - MB,St Dizier,2025-10-25T18:47:27.878823
T1_2026,2026-01-19,Majo - PB,ICL,2025-10-25T18:47:27.878823
T1_2026,2026-01-20,St Dizier,ICL,2025-10-25T18:47:27.878823
T1_2026,2026-01-21,Majo - CG,St Dizier,2025-10-25T18:47:27.878823
T1_2026,2026-01-22,Radiolor,Radiolor,2025-10-25T18:47:27.878823
T1_2026,2026-01-23,Majo - MB,St Dizier,2025-10-25T18:47:27.878823
T1_2026,2026-01-26,Jung,ICL,2025-10-25T18:47:27.878823
T1_2026,2026-01-27,St Dizier,ICL,2025-10-25T18:47:27.878823
T1_2026,2026-01-28,Majo - CG,St Dizier,2025-10-25T18:47:27.878823
T1_2026,2026-01-29,Majo - PB,St Dizier,2025-10-25T18:47:27.878823
T1_2026,2026-01-30,Radiolor,Radiolor,2025-10-25T18:47:27.878823
T1_2026,2026-02-02,ICL,St Dizier,2025-10-25T18:47:27.878823
